# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,1.374999999999999920e-03,8.936599999999999405e-03
2.000000000000000000e+02,2.772999999999999857e-03,1.274510000000000053e-02
5.000000000000000000e+02,6.731199999999999684e-03,1.980550000000000019e-02
1.000000000000000000e+03,1.372699999999999962e-02,2.804740000000000011e-02
2.000000000000000000e+03,2.694200000000000067e-02,3.938259999999999678e-02
5.000000000000000000e+03,6.652370000000000505e-02,6.169759999999999828e-02
1.000000000000000000e+04,1.332258000000000053e-01,7.487910000000000399e-02
2.000000000000000000e+04,2.608710000000000195e-01,1.086725000000000052e-01
5.000000000000000000e+04,6.000769999999999715e-01,1.519977999999999885e-01
1.000000000000000000e+05,1.058868200000000037e+00,1.836396999999999891e-01
