# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,3.647720000000000129e-02,2.564040000000000069e-02
2.000000000000000000e+02,6.280810000000000559e-02,3.511000000000000232e-02
5.000000000000000000e+02,1.456330999999999876e-01,4.844799999999999801e-02
1.000000000000000000e+03,2.770703999999999945e-01,6.230179999999999746e-02
2.000000000000000000e+03,4.297400000000000109e-01,7.433470000000000355e-02
5.000000000000000000e+03,6.794208000000000469e-01,7.725830000000000197e-02
1.000000000000000000e+04,8.832071999999999701e-01,8.205279999999999518e-02
2.000000000000000000e+04,1.182257499999999961e+00,9.863650000000000195e-02
5.000000000000000000e+04,1.757941399999999987e+00,1.341671000000000114e-01
1.000000000000000000e+05,2.587809700000000213e+00,1.830222999999999989e-01
1.000000000000000000e+06,8.324508500000000311e+00,1.898113999999999912e-01
