# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,4.279999999999999950e-04,5.289300000000000251e-03
2.000000000000000000e+02,8.113000000000000420e-04,7.153500000000000136e-03
5.000000000000000000e+02,2.408400000000000211e-03,1.230140000000000053e-02
1.000000000000000000e+03,4.554899999999999748e-03,1.695230000000000001e-02
2.000000000000000000e+03,9.199300000000000532e-03,2.423070000000000085e-02
5.000000000000000000e+03,2.246789999999999898e-02,3.862759999999999805e-02
1.000000000000000000e+04,4.494859999999999828e-02,5.357660000000000200e-02
2.000000000000000000e+04,8.807660000000000489e-02,7.513569999999999971e-02
5.000000000000000000e+04,2.226184999999999969e-01,1.191973000000000060e-01
1.000000000000000000e+05,4.355148999999999826e-01,1.480501999999999929e-01
