# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,2.004680000000000004e-02,2.297640000000000099e-02
2.000000000000000000e+02,3.987999999999999878e-02,2.802150000000000127e-02
5.000000000000000000e+02,9.913189999999999502e-02,4.394440000000000152e-02
1.000000000000000000e+03,1.906174999999999953e-01,6.088360000000000299e-02
2.000000000000000000e+03,3.788466999999999807e-01,7.834349999999999647e-02
5.000000000000000000e+03,8.288174999999999848e-01,1.107080000000000009e-01
1.000000000000000000e+04,1.275034500000000071e+00,1.113698000000000049e-01
2.000000000000000000e+04,1.775400899999999949e+00,1.071561999999999931e-01
5.000000000000000000e+04,2.342942999999999998e+00,1.076141999999999932e-01
1.000000000000000000e+05,2.770507600000000181e+00,1.019417999999999991e-01
1.000000000000000000e+06,3.923394200000000165e+00,1.397394000000000136e-01
