# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,1.452000000000000057e-04,1.625399999999999935e-03
2.000000000000000000e+02,2.711999999999999784e-04,2.175299999999999803e-03
5.000000000000000000e+02,6.893000000000000039e-04,3.457099999999999843e-03
1.000000000000000000e+03,1.319099999999999917e-03,4.839399999999999778e-03
2.000000000000000000e+03,2.890199999999999887e-03,7.082999999999999886e-03
5.000000000000000000e+03,7.237799999999999963e-03,1.134560000000000082e-02
1.000000000000000000e+04,1.404859999999999963e-02,1.558730000000000011e-02
2.000000000000000000e+04,2.805349999999999858e-02,2.227099999999999913e-02
5.000000000000000000e+04,6.813489999999999824e-02,2.879539999999999877e-02
1.000000000000000000e+05,1.329368999999999967e-01,4.155960000000000210e-02
