# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,7.136999999999999464e-04,4.478099999999999616e-03
2.000000000000000000e+02,1.430099999999999904e-03,6.257399999999999768e-03
5.000000000000000000e+02,3.497399999999999901e-03,9.826700000000000712e-03
1.000000000000000000e+03,7.454200000000000235e-03,1.419010000000000063e-02
2.000000000000000000e+03,1.449010000000000055e-02,1.986049999999999968e-02
5.000000000000000000e+03,3.574800000000000200e-02,3.120519999999999891e-02
1.000000000000000000e+04,7.101749999999999730e-02,3.716119999999999840e-02
2.000000000000000000e+04,1.433886000000000049e-01,5.567199999999999926e-02
5.000000000000000000e+04,3.465104999999999991e-01,7.895580000000000653e-02
1.000000000000000000e+05,6.487646000000000246e-01,1.057454000000000033e-01
