# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,7.627799999999999685e-03,1.599599999999999980e-02
2.000000000000000000e+02,1.468389999999999973e-02,1.835880000000000151e-02
5.000000000000000000e+02,3.481189999999999979e-02,2.754509999999999945e-02
1.000000000000000000e+03,7.416879999999999307e-02,3.973949999999999705e-02
2.000000000000000000e+03,1.448878000000000110e-01,5.213709999999999872e-02
5.000000000000000000e+03,3.456327000000000149e-01,8.447409999999999641e-02
1.000000000000000000e+04,6.631905999999999635e-01,1.124297999999999964e-01
2.000000000000000000e+04,1.220281500000000019e+00,1.574173000000000100e-01
5.000000000000000000e+04,2.917690799999999918e+00,2.494356000000000073e-01
1.000000000000000000e+05,5.164495699999999800e+00,3.221662000000000137e-01
1.000000000000000000e+06,1.277274330000000013e+01,2.084547999999999957e-01
