# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,5.584000000000000205e-04,4.322999999999999586e-03
2.000000000000000000e+02,1.060200000000000075e-03,5.971699999999999925e-03
5.000000000000000000e+02,2.489400000000000120e-03,9.071199999999999750e-03
1.000000000000000000e+03,5.002099999999999776e-03,1.291740000000000076e-02
2.000000000000000000e+03,1.043630000000000078e-02,1.849349999999999952e-02
5.000000000000000000e+03,2.602080000000000018e-02,2.959289999999999837e-02
1.000000000000000000e+04,5.237069999999999920e-02,4.149459999999999954e-02
2.000000000000000000e+04,1.041630999999999946e-01,5.876979999999999704e-02
5.000000000000000000e+04,2.583500000000000241e-01,7.872780000000000056e-02
1.000000000000000000e+05,5.093497999999999637e-01,1.100227000000000011e-01
