# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,7.651689999999999880e-02,4.936759999999999760e-02
2.000000000000000000e+02,1.465868999999999922e-01,6.683110000000000439e-02
5.000000000000000000e+02,3.196998999999999813e-01,9.022829999999999739e-02
1.000000000000000000e+03,5.606714000000000420e-01,1.145956999999999948e-01
2.000000000000000000e+03,8.453823000000000309e-01,1.206857000000000069e-01
5.000000000000000000e+03,1.352339699999999922e+00,1.288240999999999969e-01
1.000000000000000000e+04,1.723978000000000010e+00,1.250407000000000046e-01
2.000000000000000000e+04,1.992690999999999990e+00,1.193166999999999978e-01
5.000000000000000000e+04,2.417023700000000108e+00,1.012553000000000064e-01
1.000000000000000000e+05,2.678903700000000221e+00,1.152543000000000040e-01
1.000000000000000000e+06,3.520531500000000147e+00,1.022316000000000058e-01
