# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,1.085520000000000061e-02,1.371990000000000015e-02
2.000000000000000000e+02,2.083940000000000098e-02,1.650130000000000000e-02
5.000000000000000000e+02,5.365869999999999668e-02,2.646340000000000151e-02
1.000000000000000000e+03,1.062458000000000014e-01,3.600819999999999715e-02
2.000000000000000000e+03,1.926985999999999977e-01,4.726099999999999746e-02
5.000000000000000000e+03,4.209455999999999753e-01,6.090059999999999918e-02
1.000000000000000000e+04,7.189269000000000354e-01,7.898099999999999565e-02
2.000000000000000000e+04,1.138004699999999980e+00,9.558569999999999567e-02
5.000000000000000000e+04,1.872310099999999977e+00,1.053588000000000025e-01
1.000000000000000000e+05,2.620720500000000008e+00,1.160984999999999934e-01
1.000000000000000000e+06,5.817713499999999982e+00,1.248988999999999933e-01
