# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,1.574000000000000095e-03,7.322300000000000336e-03
2.000000000000000000e+02,3.105000000000000121e-03,1.036459999999999985e-02
5.000000000000000000e+02,7.719199999999999846e-03,1.624559999999999893e-02
1.000000000000000000e+03,1.645680000000000059e-02,2.359429999999999861e-02
2.000000000000000000e+03,3.148019999999999985e-02,2.775079999999999908e-02
5.000000000000000000e+03,7.870399999999999618e-02,4.363140000000000074e-02
1.000000000000000000e+04,1.508925999999999878e-01,6.037390000000000118e-02
2.000000000000000000e+04,2.743616999999999861e-01,7.744550000000000045e-02
5.000000000000000000e+04,5.742281000000000191e-01,9.782359999999999667e-02
1.000000000000000000e+05,9.210884999999999767e-01,1.235099000000000058e-01
