# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,2.464999999999999743e-04,4.044200000000000399e-03
2.000000000000000000e+02,4.863000000000000027e-04,5.670299999999999646e-03
5.000000000000000000e+02,1.405500000000000065e-03,9.665299999999999933e-03
1.000000000000000000e+03,2.285899999999999998e-03,1.223519999999999990e-02
2.000000000000000000e+03,4.929099999999999628e-03,1.825689999999999952e-02
5.000000000000000000e+03,1.262259999999999945e-02,2.888059999999999933e-02
1.000000000000000000e+04,2.537839999999999888e-02,4.067239999999999744e-02
2.000000000000000000e+04,4.973759999999999987e-02,5.752170000000000200e-02
5.000000000000000000e+04,1.237145000000000050e-01,9.066130000000000022e-02
1.000000000000000000e+05,2.485613999999999879e-01,1.274801999999999880e-01
