# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,8.861999999999999652e-04,6.162400000000000169e-03
2.000000000000000000e+02,1.888499999999999988e-03,8.777399999999999439e-03
5.000000000000000000e+02,4.870199999999999876e-03,1.423619999999999920e-02
1.000000000000000000e+03,9.694899999999999352e-03,2.012270000000000031e-02
2.000000000000000000e+03,1.964240000000000083e-02,2.849830000000000071e-02
5.000000000000000000e+03,4.750530000000000030e-02,4.383689999999999809e-02
1.000000000000000000e+04,9.626959999999999684e-02,6.155479999999999979e-02
2.000000000000000000e+04,1.892635000000000012e-01,7.741249999999999520e-02
5.000000000000000000e+04,4.505605999999999778e-01,1.084274999999999961e-01
1.000000000000000000e+05,8.318643000000000010e-01,1.470142000000000115e-01
