# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,2.668999999999999823e-04,3.883499999999999799e-03
2.000000000000000000e+02,5.678000000000000321e-04,5.706400000000000361e-03
5.000000000000000000e+02,1.540300000000000089e-03,9.294000000000000178e-03
1.000000000000000000e+03,2.844699999999999920e-03,1.264440000000000008e-02
2.000000000000000000e+03,5.819999999999999653e-03,1.829309999999999964e-02
5.000000000000000000e+03,1.524189999999999920e-02,2.920829999999999954e-02
1.000000000000000000e+04,3.007479999999999876e-02,4.125360000000000138e-02
2.000000000000000000e+04,5.925090000000000218e-02,5.735740000000000283e-02
5.000000000000000000e+04,1.487205000000000055e-01,9.211800000000000543e-02
1.000000000000000000e+05,2.924841000000000246e-01,1.115571000000000063e-01
