# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,5.975300000000000229e-03,1.851190000000000127e-02
2.000000000000000000e+02,1.119219999999999937e-02,2.503290000000000029e-02
5.000000000000000000e+02,2.998469999999999955e-02,3.502090000000000064e-02
1.000000000000000000e+03,5.913689999999999919e-02,5.122600000000000070e-02
2.000000000000000000e+03,1.191460000000000019e-01,6.737239999999999895e-02
5.000000000000000000e+03,2.811166999999999971e-01,1.042783000000000043e-01
1.000000000000000000e+04,5.765076000000000089e-01,1.515728000000000075e-01
2.000000000000000000e+04,1.088759100000000091e+00,1.805856999999999879e-01
5.000000000000000000e+04,2.446609700000000220e+00,2.804028000000000076e-01
1.000000000000000000e+05,4.339351899999999596e+00,3.444738999999999995e-01
1.000000000000000000e+06,1.066525490000000076e+01,2.193711999999999884e-01
