# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,1.101999999999999952e-04,2.043999999999999810e-03
2.000000000000000000e+02,2.584999999999999950e-04,3.214900000000000136e-03
5.000000000000000000e+02,6.614000000000000304e-04,5.056599999999999637e-03
1.000000000000000000e+03,1.341799999999999981e-03,7.034900000000000181e-03
2.000000000000000000e+03,2.778599999999999993e-03,1.022449999999999921e-02
5.000000000000000000e+03,7.032000000000000056e-03,1.644479999999999900e-02
1.000000000000000000e+04,1.416270000000000029e-02,2.326949999999999852e-02
2.000000000000000000e+04,2.746639999999999845e-02,3.203389999999999710e-02
5.000000000000000000e+04,6.818720000000000336e-02,5.030369999999999980e-02
1.000000000000000000e+05,1.335387000000000102e-01,6.056609999999999772e-02
