# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,9.260000000000000110e-05,1.747000000000000072e-03
2.000000000000000000e+02,1.587000000000000086e-04,2.285099999999999978e-03
5.000000000000000000e+02,3.802000000000000258e-04,3.525100000000000195e-03
1.000000000000000000e+03,9.654000000000000472e-04,5.625100000000000065e-03
2.000000000000000000e+03,1.742400000000000069e-03,7.475400000000000100e-03
5.000000000000000000e+03,4.245200000000000189e-03,1.191670000000000056e-02
1.000000000000000000e+04,8.807699999999999904e-03,1.721860000000000057e-02
2.000000000000000000e+04,1.707840000000000052e-02,2.352869999999999961e-02
5.000000000000000000e+04,4.172089999999999826e-02,3.675250000000000045e-02
1.000000000000000000e+05,8.477419999999999400e-02,5.321120000000000017e-02
