# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,3.077900000000000167e-03,1.030170000000000044e-02
2.000000000000000000e+02,5.927400000000000203e-03,1.424500000000000072e-02
5.000000000000000000e+02,1.447939999999999991e-02,1.960260000000000127e-02
1.000000000000000000e+03,3.009039999999999979e-02,2.660859999999999961e-02
2.000000000000000000e+03,6.014680000000000026e-02,3.704670000000000185e-02
5.000000000000000000e+03,1.413845999999999992e-01,5.704010000000000330e-02
1.000000000000000000e+04,2.855843000000000131e-01,8.249610000000000276e-02
2.000000000000000000e+04,5.580716999999999484e-01,9.506860000000000310e-02
5.000000000000000000e+04,1.171475999999999962e+00,1.581162000000000123e-01
1.000000000000000000e+05,2.073761800000000211e+00,1.872491000000000017e-01
1.000000000000000000e+06,7.175189699999999782e+00,2.206361000000000017e-01
