# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,3.729149999999999826e-02,2.706640000000000087e-02
2.000000000000000000e+02,7.344009999999999427e-02,3.788500000000000201e-02
5.000000000000000000e+02,1.809242000000000072e-01,5.302540000000000031e-02
1.000000000000000000e+03,3.118755999999999751e-01,7.046330000000000648e-02
2.000000000000000000e+03,5.078089999999999549e-01,7.403010000000000146e-02
5.000000000000000000e+03,8.933927999999999869e-01,9.483869999999999800e-02
1.000000000000000000e+04,1.194273700000000105e+00,7.547109999999999930e-02
2.000000000000000000e+04,1.354948299999999994e+00,6.855970000000000120e-02
5.000000000000000000e+04,1.520451299999999950e+00,4.716990000000000072e-02
1.000000000000000000e+05,1.568742400000000092e+00,3.307149999999999673e-02
1.000000000000000000e+06,1.627583100000000060e+00,1.425270000000000009e-02
