# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,7.559999999999999446e-05,1.725900000000000047e-03
2.000000000000000000e+02,1.404999999999999999e-04,2.245200000000000147e-03
5.000000000000000000e+02,2.917999999999999912e-04,3.228799999999999986e-03
1.000000000000000000e+03,6.771999999999999808e-04,4.892399999999999874e-03
2.000000000000000000e+03,1.322000000000000041e-03,6.961900000000000033e-03
5.000000000000000000e+03,3.069099999999999953e-03,1.053549999999999973e-02
1.000000000000000000e+04,6.329000000000000424e-03,1.517330000000000068e-02
2.000000000000000000e+04,1.231229999999999998e-02,2.100950000000000040e-02
5.000000000000000000e+04,3.063300000000000051e-02,2.882830000000000115e-02
1.000000000000000000e+05,6.349209999999999576e-02,4.221420000000000033e-02
