# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,2.124000000000000128e-04,2.966200000000000000e-03
2.000000000000000000e+02,4.122999999999999929e-04,4.205999999999999669e-03
5.000000000000000000e+02,1.057699999999999960e-03,6.760200000000000063e-03
1.000000000000000000e+03,2.123700000000000067e-03,9.422399999999999179e-03
2.000000000000000000e+03,4.143400000000000208e-03,1.307580000000000027e-02
5.000000000000000000e+03,1.003989999999999917e-02,2.038200000000000081e-02
1.000000000000000000e+04,1.997979999999999895e-02,2.883209999999999940e-02
2.000000000000000000e+04,4.096729999999999816e-02,4.141929999999999917e-02
5.000000000000000000e+04,9.602209999999999912e-02,6.216130000000000266e-02
1.000000000000000000e+05,1.878782999999999981e-01,7.986580000000000068e-02
