# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,2.452999999999999994e-04,4.080399999999999652e-03
2.000000000000000000e+02,4.905000000000000505e-04,5.840200000000000252e-03
5.000000000000000000e+02,1.192300000000000087e-03,8.985299999999999884e-03
1.000000000000000000e+03,2.261899999999999848e-03,1.224399999999999968e-02
2.000000000000000000e+03,4.312599999999999767e-03,1.711309999999999915e-02
5.000000000000000000e+03,1.034209999999999990e-02,2.659310000000000146e-02
1.000000000000000000e+04,2.181519999999999987e-02,3.892790000000000139e-02
2.000000000000000000e+04,4.356229999999999825e-02,5.426349999999999923e-02
5.000000000000000000e+04,1.063167000000000001e-01,8.433090000000000031e-02
1.000000000000000000e+05,2.107733999999999996e-01,1.179634999999999989e-01
