# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,1.523393800000000020e+00,6.310999999999999943e-02
2.000000000000000000e+02,1.702514499999999931e+00,6.063059999999999977e-02
5.000000000000000000e+02,1.914102100000000029e+00,5.671469999999999984e-02
1.000000000000000000e+03,2.115591999999999917e+00,7.113550000000000428e-02
2.000000000000000000e+03,2.248811499999999963e+00,5.888009999999999772e-02
5.000000000000000000e+03,2.417921900000000068e+00,4.784830000000000333e-02
1.000000000000000000e+04,2.533507300000000129e+00,4.719899999999999790e-02
2.000000000000000000e+04,2.684978999999999782e+00,5.380769999999999997e-02
5.000000000000000000e+04,2.881402299999999972e+00,6.329640000000000266e-02
1.000000000000000000e+05,3.128272099999999778e+00,6.590060000000000362e-02
1.000000000000000000e+06,3.580218599999999807e+00,1.034251000000000059e-01
