# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,6.646899999999999857e-03,1.329770000000000084e-02
2.000000000000000000e+02,1.331760000000000062e-02,1.870219999999999869e-02
5.000000000000000000e+02,3.324749999999999928e-02,2.943909999999999930e-02
1.000000000000000000e+03,6.875140000000000418e-02,4.253320000000000017e-02
2.000000000000000000e+03,1.348984000000000016e-01,5.269750000000000129e-02
5.000000000000000000e+03,3.340695000000000192e-01,7.858619999999999495e-02
1.000000000000000000e+04,6.416872999999999605e-01,1.157827000000000023e-01
2.000000000000000000e+04,1.217718599999999984e+00,1.503790000000000127e-01
5.000000000000000000e+04,2.518997199999999825e+00,1.795384999999999898e-01
1.000000000000000000e+05,3.630673499999999887e+00,1.664131000000000082e-01
1.000000000000000000e+06,5.980603600000000242e+00,1.038132999999999972e-01
