# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,4.484939999999999760e-02,1.922820000000000085e-02
2.000000000000000000e+02,8.698609999999999676e-02,2.721770000000000092e-02
5.000000000000000000e+02,2.086069999999999869e-01,4.048159999999999953e-02
1.000000000000000000e+03,3.728770000000000140e-01,5.029510000000000230e-02
2.000000000000000000e+03,6.695189999999999753e-01,8.839329999999999410e-02
5.000000000000000000e+03,1.205155900000000058e+00,6.830129999999999535e-02
1.000000000000000000e+04,1.589579199999999970e+00,5.904319999999999707e-02
2.000000000000000000e+04,1.885720000000000063e+00,5.658690000000000248e-02
5.000000000000000000e+04,2.112028200000000133e+00,3.665970000000000339e-02
1.000000000000000000e+05,2.188859599999999794e+00,2.703950000000000103e-02
1.000000000000000000e+06,2.264179899999999801e+00,9.236100000000000559e-03
