# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,1.334779999999999994e-02,1.302460000000000076e-02
2.000000000000000000e+02,2.775549999999999892e-02,2.028900000000000148e-02
5.000000000000000000e+02,6.650920000000000443e-02,3.085380000000000067e-02
1.000000000000000000e+03,1.349702999999999875e-01,4.087280000000000080e-02
2.000000000000000000e+03,2.580348000000000086e-01,5.114040000000000252e-02
5.000000000000000000e+03,5.320437999999999557e-01,6.898790000000000477e-02
1.000000000000000000e+04,8.736454999999999638e-01,7.057760000000000422e-02
2.000000000000000000e+04,1.293262899999999993e+00,8.823920000000000374e-02
5.000000000000000000e+04,1.865267400000000020e+00,8.775840000000000030e-02
1.000000000000000000e+05,2.275968999999999909e+00,8.813160000000000438e-02
1.000000000000000000e+06,3.397841099999999948e+00,6.704780000000000462e-02
