# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,2.293999999999999924e-04,2.571200000000000048e-03
2.000000000000000000e+02,4.327000000000000009e-04,3.542500000000000076e-03
5.000000000000000000e+02,1.083299999999999931e-03,5.564500000000000002e-03
1.000000000000000000e+03,2.300200000000000074e-03,8.128200000000000355e-03
2.000000000000000000e+03,4.658500000000000314e-03,1.163420000000000079e-02
5.000000000000000000e+03,1.099849999999999960e-02,1.778710000000000013e-02
1.000000000000000000e+04,2.376570000000000071e-02,2.310020000000000129e-02
2.000000000000000000e+04,4.351780000000000231e-02,2.996549999999999908e-02
5.000000000000000000e+04,1.089389999999999942e-01,4.667520000000000002e-02
1.000000000000000000e+05,2.156257000000000035e-01,6.277599999999999847e-02
