# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,6.957099999999999916e-03,1.685009999999999980e-02
2.000000000000000000e+02,1.263809999999999933e-02,1.910469999999999877e-02
5.000000000000000000e+02,3.160779999999999840e-02,3.045780000000000015e-02
1.000000000000000000e+03,6.459399999999999864e-02,4.010199999999999876e-02
2.000000000000000000e+03,1.291172999999999904e-01,5.514399999999999857e-02
5.000000000000000000e+03,2.960576999999999792e-01,8.432729999999999393e-02
1.000000000000000000e+04,6.130292000000000519e-01,1.214564000000000060e-01
2.000000000000000000e+04,1.139686999999999895e+00,1.603237000000000134e-01
5.000000000000000000e+04,2.489517900000000061e+00,2.544050999999999951e-01
1.000000000000000000e+05,4.967052999999999940e+00,3.713227000000000055e-01
1.000000000000000000e+06,1.257152669999999972e+01,1.957698999999999967e-01
