# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,1.623780000000000015e-02,2.126029999999999934e-02
2.000000000000000000e+02,3.190670000000000311e-02,2.901770000000000044e-02
5.000000000000000000e+02,8.402859999999999496e-02,4.627850000000000019e-02
1.000000000000000000e+03,1.648934999999999984e-01,6.428059999999999330e-02
2.000000000000000000e+03,3.100783999999999763e-01,8.524410000000000320e-02
5.000000000000000000e+03,6.977375999999999578e-01,1.183618000000000031e-01
1.000000000000000000e+04,1.294318199999999974e+00,1.693192000000000030e-01
2.000000000000000000e+04,2.449180199999999807e+00,2.375842999999999983e-01
5.000000000000000000e+04,5.994533500000000181e+00,3.976660000000000195e-01
1.000000000000000000e+05,9.708661299999999272e+00,3.340063999999999811e-01
1.000000000000000000e+06,1.428961400000000026e+01,1.877063999999999955e-01
