# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,1.658650000000000055e-02,2.126590000000000077e-02
2.000000000000000000e+02,3.243399999999999755e-02,2.957500000000000059e-02
5.000000000000000000e+02,8.298239999999999783e-02,4.426229999999999748e-02
1.000000000000000000e+03,1.507565999999999906e-01,6.081919999999999688e-02
2.000000000000000000e+03,3.153136000000000272e-01,8.320059999999999956e-02
5.000000000000000000e+03,6.861566999999999528e-01,1.158090999999999982e-01
1.000000000000000000e+04,1.309902099999999958e+00,1.641745000000000010e-01
2.000000000000000000e+04,2.534738899999999795e+00,2.598756999999999873e-01
5.000000000000000000e+04,5.998813799999999752e+00,3.948388999999999927e-01
1.000000000000000000e+05,9.674981900000000579e+00,3.490097999999999812e-01
1.000000000000000000e+06,1.432541400000000031e+01,1.657372000000000012e-01
