# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,4.663000000000000044e-04,3.956600000000000221e-03
2.000000000000000000e+02,1.055200000000000062e-03,6.073499999999999906e-03
5.000000000000000000e+02,2.668600000000000139e-03,9.533800000000000260e-03
1.000000000000000000e+03,4.931099999999999893e-03,1.287570000000000034e-02
2.000000000000000000e+03,1.012279999999999951e-02,1.859200000000000089e-02
5.000000000000000000e+03,2.504500000000000129e-02,2.888200000000000142e-02
1.000000000000000000e+04,4.951819999999999833e-02,4.094110000000000110e-02
2.000000000000000000e+04,9.908069999999999378e-02,5.695379999999999887e-02
5.000000000000000000e+04,2.343504999999999894e-01,7.927069999999999950e-02
1.000000000000000000e+05,4.469666999999999946e-01,9.859619999999999496e-02
