# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,2.767860000000000112e-02,2.232409999999999950e-02
2.000000000000000000e+02,5.514259999999999995e-02,2.977990000000000151e-02
5.000000000000000000e+02,1.416120999999999908e-01,4.701410000000000311e-02
1.000000000000000000e+03,2.723459999999999770e-01,6.622949999999999671e-02
2.000000000000000000e+03,4.734618999999999911e-01,7.877280000000000393e-02
5.000000000000000000e+03,1.014298799999999945e+00,1.031707000000000041e-01
1.000000000000000000e+04,1.552985199999999955e+00,1.265304999999999902e-01
2.000000000000000000e+04,2.163845100000000077e+00,1.163595000000000046e-01
5.000000000000000000e+04,2.862998399999999943e+00,1.057320000000000065e-01
1.000000000000000000e+05,3.336439599999999839e+00,9.404800000000000659e-02
1.000000000000000000e+06,4.428879399999999578e+00,9.080390000000000683e-02
