# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,3.300000000000000168e-06,3.284000000000000135e-04
2.000000000000000000e+02,1.970000000000000112e-05,8.040999999999999754e-04
5.000000000000000000e+02,3.940000000000000224e-05,1.136899999999999933e-03
1.000000000000000000e+03,5.909999999999999997e-05,1.392000000000000008e-03
2.000000000000000000e+03,1.543000000000000101e-04,2.246000000000000166e-03
5.000000000000000000e+03,3.417000000000000115e-04,3.364400000000000029e-03
1.000000000000000000e+04,6.895999999999999569e-04,4.708500000000000012e-03
2.000000000000000000e+04,1.454699999999999960e-03,6.930099999999999802e-03
5.000000000000000000e+04,3.372500000000000064e-03,1.052630000000000059e-02
1.000000000000000000e+05,7.181700000000000063e-03,1.508669999999999976e-02
