# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,5.487779999999999742e-02,4.875299999999999773e-02
2.000000000000000000e+02,1.144666000000000017e-01,6.765540000000000442e-02
5.000000000000000000e+02,2.887477999999999989e-01,1.134098999999999940e-01
1.000000000000000000e+03,5.208445999999999909e-01,1.356304000000000121e-01
2.000000000000000000e+03,9.843914000000000275e-01,1.929346000000000116e-01
5.000000000000000000e+03,1.983358500000000024e+00,2.462789999999999979e-01
1.000000000000000000e+04,3.339228100000000143e+00,3.109154000000000084e-01
2.000000000000000000e+04,4.935801999999999801e+00,3.376574999999999993e-01
5.000000000000000000e+04,7.142386700000000310e+00,3.007154000000000216e-01
1.000000000000000000e+05,8.548821500000000739e+00,2.576610999999999763e-01
1.000000000000000000e+06,1.094441450000000060e+01,1.901965999999999934e-01
