# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,6.849000000000000053e-04,5.512300000000000359e-03
2.000000000000000000e+02,1.080699999999999977e-03,6.934100000000000333e-03
5.000000000000000000e+02,2.797399999999999800e-03,1.128110000000000050e-02
1.000000000000000000e+03,5.719300000000000078e-03,1.586529999999999885e-02
2.000000000000000000e+03,1.126950000000000000e-02,2.250140000000000126e-02
5.000000000000000000e+03,2.839619999999999991e-02,3.533929999999999710e-02
1.000000000000000000e+04,5.684580000000000188e-02,4.994500000000000328e-02
2.000000000000000000e+04,1.146521999999999958e-01,7.130880000000000551e-02
5.000000000000000000e+04,2.742662000000000155e-01,9.765369999999999606e-02
1.000000000000000000e+05,5.215530999999999917e-01,1.307422000000000029e-01
