# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,7.873099999999999196e-03,1.098690000000000083e-02
2.000000000000000000e+02,1.477930000000000042e-02,1.419549999999999979e-02
5.000000000000000000e+02,3.520029999999999687e-02,2.193799999999999917e-02
1.000000000000000000e+03,7.193589999999999707e-02,3.089549999999999935e-02
2.000000000000000000e+03,1.338227999999999918e-01,4.049819999999999809e-02
5.000000000000000000e+03,2.955780000000000074e-01,5.877879999999999910e-02
1.000000000000000000e+04,5.142942000000000347e-01,6.401179999999999370e-02
2.000000000000000000e+04,8.200167999999999902e-01,7.772160000000000180e-02
5.000000000000000000e+04,1.381535200000000074e+00,9.485359999999999625e-02
1.000000000000000000e+05,1.955483700000000047e+00,1.191588999999999982e-01
1.000000000000000000e+06,6.422861199999999826e+00,2.016888000000000014e-01
