# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,9.342000000000000477e-04,5.944299999999999584e-03
2.000000000000000000e+02,1.849100000000000006e-03,8.421200000000000213e-03
5.000000000000000000e+02,4.955300000000000156e-03,1.388649999999999954e-02
1.000000000000000000e+03,9.945100000000000121e-03,1.941160000000000108e-02
2.000000000000000000e+03,1.896379999999999941e-02,2.684270000000000059e-02
5.000000000000000000e+03,4.774199999999999972e-02,3.542490000000000222e-02
1.000000000000000000e+04,9.521870000000000334e-02,4.914450000000000068e-02
2.000000000000000000e+04,1.778588999999999865e-01,6.503720000000000334e-02
5.000000000000000000e+04,3.994306000000000245e-01,9.291810000000000347e-02
1.000000000000000000e+05,6.808258000000000365e-01,1.103230999999999934e-01
