# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,8.890000000000000604e-05,1.852099999999999970e-03
2.000000000000000000e+02,1.431000000000000089e-04,2.347500000000000194e-03
5.000000000000000000e+02,3.363999999999999911e-04,3.631999999999999812e-03
1.000000000000000000e+03,6.495999999999999604e-04,4.999100000000000245e-03
2.000000000000000000e+03,1.384900000000000107e-03,7.226699999999999964e-03
5.000000000000000000e+03,3.649900000000000193e-03,1.194770000000000033e-02
1.000000000000000000e+04,6.553500000000000297e-03,1.583669999999999869e-02
2.000000000000000000e+04,1.335450000000000005e-02,2.260099999999999956e-02
5.000000000000000000e+04,3.296110000000000012e-02,3.032340000000000035e-02
1.000000000000000000e+05,6.577330000000000676e-02,4.201389999999999986e-02
