# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,6.028000000000000155e-04,4.553599999999999662e-03
2.000000000000000000e+02,1.063300000000000096e-03,5.192600000000000340e-03
5.000000000000000000e+02,2.658199999999999886e-03,8.137099999999999542e-03
1.000000000000000000e+03,6.213800000000000226e-03,1.232280000000000007e-02
2.000000000000000000e+03,1.116450000000000081e-02,1.685189999999999952e-02
5.000000000000000000e+03,2.775709999999999983e-02,2.665659999999999905e-02
1.000000000000000000e+04,4.687249999999999750e-02,3.652550000000000241e-02
2.000000000000000000e+04,1.008189000000000030e-01,4.829610000000000153e-02
5.000000000000000000e+04,2.685570999999999930e-01,8.890109999999999679e-02
1.000000000000000000e+05,4.212061000000000277e-01,1.081219999999999959e-01
1.000000000000000000e+06,1.791410399999999958e+00,1.364844000000000057e-01
