# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,2.265099999999999926e-03,7.377200000000000424e-03
2.000000000000000000e+02,5.086000000000000243e-03,1.073280000000000067e-02
5.000000000000000000e+02,1.275659999999999988e-02,1.715989999999999877e-02
1.000000000000000000e+03,2.428630000000000025e-02,2.368249999999999869e-02
2.000000000000000000e+03,4.759499999999999842e-02,3.168010000000000270e-02
5.000000000000000000e+03,1.195689999999999947e-01,4.978470000000000117e-02
1.000000000000000000e+04,2.176404000000000116e-01,6.827300000000000035e-02
2.000000000000000000e+04,3.739107999999999876e-01,9.569239999999999691e-02
5.000000000000000000e+04,7.729108000000000089e-01,1.210776999999999964e-01
1.000000000000000000e+05,1.119759799999999972e+00,1.001007000000000008e-01
1.000000000000000000e+06,2.097136499999999959e+00,5.948010000000000103e-02
