# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,2.084900000000000208e-03,1.140629999999999943e-02
2.000000000000000000e+02,4.157199999999999784e-03,1.608329999999999829e-02
5.000000000000000000e+02,1.082499999999999955e-02,2.552439999999999917e-02
1.000000000000000000e+03,2.159989999999999827e-02,3.682599999999999763e-02
2.000000000000000000e+03,4.286170000000000258e-02,4.476050000000000167e-02
5.000000000000000000e+03,9.872090000000000032e-02,6.307069999999999343e-02
1.000000000000000000e+04,1.807719999999999883e-01,7.968480000000000008e-02
2.000000000000000000e+04,3.304558000000000217e-01,1.022302999999999962e-01
5.000000000000000000e+04,6.839003999999999639e-01,1.562864999999999949e-01
1.000000000000000000e+05,1.165505900000000095e+00,1.954511999999999916e-01
1.000000000000000000e+06,8.536584200000000067e+00,6.088036999999999477e-01
