# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,1.151119999999999921e-02,1.991379999999999886e-02
2.000000000000000000e+02,2.333090000000000164e-02,2.848490000000000050e-02
5.000000000000000000e+02,5.713259999999999866e-02,3.793559999999999988e-02
1.000000000000000000e+03,1.109412000000000037e-01,4.985749999999999904e-02
2.000000000000000000e+03,2.254030999999999951e-01,7.164260000000000073e-02
5.000000000000000000e+03,5.166306000000000509e-01,1.030718000000000051e-01
1.000000000000000000e+04,9.122278999999999805e-01,1.405607000000000106e-01
2.000000000000000000e+04,1.627725300000000042e+00,1.761395000000000044e-01
5.000000000000000000e+04,3.201286200000000193e+00,2.476585000000000036e-01
1.000000000000000000e+05,5.095978599999999581e+00,2.817299999999999804e-01
1.000000000000000000e+06,9.650277300000000835e+00,1.719743999999999995e-01
