# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,6.148899999999999678e-03,2.146949999999999900e-02
2.000000000000000000e+02,1.331610000000000085e-02,3.180319999999999675e-02
5.000000000000000000e+02,3.308210000000000317e-02,4.991009999999999891e-02
1.000000000000000000e+03,6.631309999999999982e-02,7.050720000000000598e-02
2.000000000000000000e+03,1.344946999999999948e-01,8.406980000000000008e-02
5.000000000000000000e+03,3.281787999999999927e-01,1.371053999999999884e-01
1.000000000000000000e+04,6.348230000000000262e-01,1.795987000000000000e-01
2.000000000000000000e+04,1.256362500000000049e+00,2.442413999999999974e-01
5.000000000000000000e+04,2.836158999999999875e+00,3.604397999999999769e-01
1.000000000000000000e+05,4.486724599999999619e+00,3.440356999999999998e-01
1.000000000000000000e+06,7.735757999999999690e+00,2.080122000000000082e-01
