# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,1.354679999999999947e-02,1.603589999999999877e-02
2.000000000000000000e+02,3.202130000000000254e-02,2.500530000000000114e-02
5.000000000000000000e+02,6.270069999999999810e-02,3.673470000000000207e-02
1.000000000000000000e+03,1.093848999999999932e-01,4.074239999999999806e-02
2.000000000000000000e+03,2.448803999999999981e-01,6.180370000000000308e-02
5.000000000000000000e+03,4.819602000000000053e-01,8.387429999999999886e-02
1.000000000000000000e+04,7.848901000000000350e-01,1.056393000000000054e-01
2.000000000000000000e+04,1.205364399999999891e+00,1.209676999999999975e-01
5.000000000000000000e+04,1.735668500000000058e+00,1.091590000000000060e-01
1.000000000000000000e+05,2.156085399999999819e+00,1.083854999999999957e-01
1.000000000000000000e+06,2.727716299999999983e+00,3.224919999999999870e-02
