# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,5.100000000000000299e-06,3.634999999999999993e-04
2.000000000000000000e+02,3.339999999999999870e-05,9.261999999999999617e-04
5.000000000000000000e+02,8.739999999999999668e-05,1.496300000000000104e-03
1.000000000000000000e+03,1.130999999999999980e-04,1.701299999999999991e-03
2.000000000000000000e+03,2.288000000000000049e-04,2.441399999999999820e-03
5.000000000000000000e+03,6.451999999999999619e-04,4.053799999999999765e-03
1.000000000000000000e+04,1.218399999999999908e-03,5.605500000000000239e-03
2.000000000000000000e+04,2.238899999999999831e-03,7.543300000000000179e-03
5.000000000000000000e+04,5.809400000000000154e-03,1.034060000000000014e-02
1.000000000000000000e+05,1.254169999999999938e-02,1.596500000000000002e-02
