# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,3.401400000000000170e-03,1.062019999999999978e-02
2.000000000000000000e+02,6.426499999999999921e-03,1.479510000000000026e-02
5.000000000000000000e+02,1.559729999999999971e-02,2.336099999999999982e-02
1.000000000000000000e+03,3.166349999999999720e-02,2.937259999999999871e-02
2.000000000000000000e+03,6.235170000000000295e-02,3.962659999999999794e-02
5.000000000000000000e+03,1.532030000000000058e-01,6.132440000000000113e-02
1.000000000000000000e+04,2.941011000000000042e-01,7.752879999999999494e-02
2.000000000000000000e+04,5.101271000000000555e-01,1.005878000000000050e-01
5.000000000000000000e+04,9.911425999999999847e-01,1.253504000000000007e-01
1.000000000000000000e+05,1.484974699999999981e+00,1.303763000000000005e-01
1.000000000000000000e+06,2.753888499999999961e+00,1.022465000000000040e-01
