# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,3.758999999999999755e-04,4.798400000000000408e-03
2.000000000000000000e+02,6.532000000000000479e-04,6.311100000000000043e-03
5.000000000000000000e+02,2.015199999999999977e-03,1.106369999999999923e-02
1.000000000000000000e+03,4.252200000000000250e-03,1.623930000000000165e-02
2.000000000000000000e+03,7.873599999999999696e-03,2.203499999999999903e-02
5.000000000000000000e+03,2.071869999999999962e-02,3.585819999999999980e-02
1.000000000000000000e+04,4.183800000000000019e-02,5.080300000000000094e-02
2.000000000000000000e+04,8.341709999999999403e-02,7.156510000000000649e-02
5.000000000000000000e+04,2.007162999999999864e-01,1.103702000000000016e-01
1.000000000000000000e+05,3.939573000000000103e-01,1.372068999999999928e-01
