# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,1.189474999999999977e-01,5.907860000000000195e-02
2.000000000000000000e+02,2.179368999999999890e-01,7.836980000000000335e-02
5.000000000000000000e+02,4.868793000000000148e-01,1.127307000000000031e-01
1.000000000000000000e+03,8.037891000000000341e-01,1.188236000000000014e-01
2.000000000000000000e+03,1.180239199999999933e+00,1.293402999999999914e-01
5.000000000000000000e+03,1.634200799999999898e+00,1.138902999999999999e-01
1.000000000000000000e+04,1.898300300000000052e+00,1.021514000000000033e-01
2.000000000000000000e+04,2.145165099999999825e+00,1.034093999999999985e-01
5.000000000000000000e+04,2.492490300000000047e+00,9.852089999999999459e-02
1.000000000000000000e+05,2.926816800000000107e+00,1.213257999999999975e-01
1.000000000000000000e+06,3.758064800000000094e+00,7.665560000000000429e-02
