# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,3.565099999999999866e-03,1.704659999999999856e-02
2.000000000000000000e+02,7.243499999999999939e-03,2.436220000000000052e-02
5.000000000000000000e+02,1.819799999999999890e-02,3.825800000000000034e-02
1.000000000000000000e+03,3.611240000000000283e-02,5.354029999999999900e-02
2.000000000000000000e+03,7.196550000000000169e-02,7.613240000000000285e-02
5.000000000000000000e+03,1.780744999999999967e-01,1.012305000000000010e-01
1.000000000000000000e+04,3.575668000000000180e-01,1.479228999999999961e-01
2.000000000000000000e+04,6.905073999999999934e-01,1.952889999999999904e-01
5.000000000000000000e+04,1.598656700000000042e+00,2.833873000000000086e-01
1.000000000000000000e+05,2.934536899999999893e+00,3.798332999999999848e-01
1.000000000000000000e+06,1.148640319999999981e+01,4.070443999999999729e-01
