# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,3.017800000000000170e-03,1.271360000000000025e-02
2.000000000000000000e+02,6.958400000000000002e-03,1.931199999999999931e-02
5.000000000000000000e+02,1.653160000000000046e-02,2.896920000000000051e-02
1.000000000000000000e+03,3.098949999999999969e-02,3.325469999999999815e-02
2.000000000000000000e+03,6.079620000000000163e-02,4.810149999999999842e-02
5.000000000000000000e+03,1.432579999999999965e-01,6.550930000000000641e-02
1.000000000000000000e+04,2.596845999999999877e-01,8.482829999999999537e-02
2.000000000000000000e+04,4.583481999999999834e-01,1.149495999999999990e-01
5.000000000000000000e+04,9.186309000000000280e-01,1.667887000000000119e-01
1.000000000000000000e+05,1.547781199999999968e+00,2.211107999999999962e-01
1.000000000000000000e+06,8.967568800000000451e+00,4.631951000000000263e-01
