# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,3.819000000000000129e-04,4.484100000000000412e-03
2.000000000000000000e+02,8.804000000000000411e-04,6.899800000000000204e-03
5.000000000000000000e+02,2.004800000000000158e-03,1.028029999999999916e-02
1.000000000000000000e+03,4.089100000000000026e-03,1.465540000000000072e-02
2.000000000000000000e+03,7.987400000000000402e-03,2.068570000000000131e-02
5.000000000000000000e+03,1.983050000000000090e-02,3.241329999999999906e-02
1.000000000000000000e+04,3.933749999999999747e-02,4.478340000000000098e-02
2.000000000000000000e+04,8.049409999999999898e-02,6.533419999999999506e-02
5.000000000000000000e+04,1.894000999999999879e-01,8.442689999999999917e-02
1.000000000000000000e+05,3.608683999999999781e-01,1.129576000000000052e-01
