# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,2.611000000000000040e-04,3.110200000000000031e-03
2.000000000000000000e+02,6.118000000000000174e-04,4.796299999999999869e-03
5.000000000000000000e+02,1.503400000000000005e-03,7.486500000000000099e-03
1.000000000000000000e+03,2.876200000000000197e-03,1.028109999999999961e-02
2.000000000000000000e+03,5.957500000000000122e-03,1.481850000000000007e-02
5.000000000000000000e+03,1.517909999999999919e-02,2.352629999999999999e-02
1.000000000000000000e+04,2.970909999999999870e-02,3.301260000000000305e-02
2.000000000000000000e+04,5.673220000000000346e-02,4.621460000000000151e-02
5.000000000000000000e+04,1.420992000000000088e-01,7.250460000000000238e-02
1.000000000000000000e+05,2.775769000000000153e-01,8.992369999999999530e-02
