# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,5.073000000000000252e-04,4.320700000000000235e-03
2.000000000000000000e+02,1.078100000000000022e-03,6.425100000000000429e-03
5.000000000000000000e+02,2.663500000000000069e-03,9.988999999999999616e-03
1.000000000000000000e+03,4.890600000000000155e-03,1.365109999999999935e-02
2.000000000000000000e+03,1.031089999999999958e-02,1.935519999999999949e-02
5.000000000000000000e+03,2.500869999999999829e-02,2.997280000000000083e-02
1.000000000000000000e+04,4.972279999999999756e-02,4.275980000000000059e-02
2.000000000000000000e+04,9.879269999999999718e-02,6.039599999999999830e-02
5.000000000000000000e+04,2.373031999999999919e-01,8.433820000000000205e-02
1.000000000000000000e+05,4.612143000000000215e-01,1.107390999999999931e-01
