# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,1.328304099999999988e+00,2.157119999999999871e-01
2.000000000000000000e+02,2.092574899999999793e+00,1.825219999999999898e-01
5.000000000000000000e+02,2.842256400000000127e+00,1.419566999999999912e-01
1.000000000000000000e+03,3.140121399999999952e+00,1.026834999999999970e-01
2.000000000000000000e+03,3.296491699999999803e+00,7.602399999999999436e-02
5.000000000000000000e+03,3.410240700000000125e+00,4.874560000000000004e-02
1.000000000000000000e+04,3.451485900000000218e+00,4.314439999999999942e-02
2.000000000000000000e+04,3.492549400000000137e+00,4.947080000000000227e-02
5.000000000000000000e+04,3.584958700000000054e+00,6.605669999999999598e-02
1.000000000000000000e+05,3.633176300000000136e+00,6.289300000000000446e-02
1.000000000000000000e+06,4.319153799999999599e+00,1.249547000000000019e-01
