# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,4.500999999999999901e-04,3.998800000000000271e-03
2.000000000000000000e+02,9.146999999999999532e-04,5.682999999999999684e-03
5.000000000000000000e+02,2.271500000000000082e-03,8.954800000000000607e-03
1.000000000000000000e+03,4.274400000000000248e-03,1.229169999999999915e-02
2.000000000000000000e+03,9.183800000000000643e-03,1.794619999999999896e-02
5.000000000000000000e+03,2.142799999999999913e-02,2.723369999999999957e-02
1.000000000000000000e+04,4.282419999999999977e-02,3.344239999999999713e-02
2.000000000000000000e+04,8.455619999999999803e-02,4.546619999999999828e-02
5.000000000000000000e+04,2.010556000000000010e-01,7.097530000000000505e-02
1.000000000000000000e+05,3.757661999999999947e-01,8.685669999999999502e-02
