# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,9.915950999999999516e-01,1.506000999999999868e-01
2.000000000000000000e+02,1.462324100000000016e+00,1.437467000000000050e-01
5.000000000000000000e+02,2.023967799999999873e+00,1.303169000000000133e-01
1.000000000000000000e+03,2.345588100000000065e+00,9.805780000000000052e-02
2.000000000000000000e+03,2.506214099999999778e+00,7.897940000000000516e-02
5.000000000000000000e+03,2.634892499999999860e+00,5.222559999999999703e-02
1.000000000000000000e+04,2.682358999999999938e+00,3.500849999999999795e-02
2.000000000000000000e+04,2.696685200000000115e+00,2.612619999999999873e-02
5.000000000000000000e+04,2.712177800000000083e+00,1.524020000000000062e-02
1.000000000000000000e+05,2.716225899999999971e+00,1.056290000000000007e-02
1.000000000000000000e+06,2.719222100000000086e+00,5.211399999999999713e-03
