# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,3.348500000000000087e-02,4.116460000000000258e-02
2.000000000000000000e+02,7.028929999999999900e-02,6.036890000000000311e-02
5.000000000000000000e+02,1.654865000000000086e-01,8.094619999999999593e-02
1.000000000000000000e+03,3.225624000000000269e-01,1.117070000000000007e-01
2.000000000000000000e+03,6.093576000000000548e-01,1.407863000000000031e-01
5.000000000000000000e+03,1.229392700000000005e+00,1.806608000000000103e-01
1.000000000000000000e+04,1.901664000000000021e+00,1.940525999999999918e-01
2.000000000000000000e+04,2.550513599999999936e+00,1.755305000000000060e-01
5.000000000000000000e+04,3.227759799999999846e+00,1.525004000000000082e-01
1.000000000000000000e+05,3.560158599999999840e+00,1.221427999999999958e-01
1.000000000000000000e+06,4.406568199999999713e+00,1.095407999999999937e-01
