# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,2.878000000000000024e-04,3.906100000000000023e-03
2.000000000000000000e+02,5.969999999999999829e-04,5.759000000000000230e-03
5.000000000000000000e+02,1.401799999999999921e-03,8.661600000000000202e-03
1.000000000000000000e+03,3.176700000000000183e-03,1.297360000000000006e-02
2.000000000000000000e+03,5.988600000000000173e-03,1.784859999999999919e-02
5.000000000000000000e+03,1.463610000000000085e-02,2.795040000000000024e-02
1.000000000000000000e+04,2.910700000000000093e-02,3.898089999999999888e-02
2.000000000000000000e+04,5.788360000000000033e-02,5.481350000000000111e-02
5.000000000000000000e+04,1.433019000000000098e-01,8.714529999999999499e-02
1.000000000000000000e+05,2.746380999999999961e-01,1.045727999999999935e-01
