# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,6.438000000000000363e-04,5.164700000000000367e-03
2.000000000000000000e+02,1.216000000000000067e-03,7.123899999999999851e-03
5.000000000000000000e+02,2.983299999999999928e-03,1.124909999999999972e-02
1.000000000000000000e+03,6.357800000000000257e-03,1.635429999999999870e-02
2.000000000000000000e+03,1.251790000000000021e-02,2.289990000000000081e-02
5.000000000000000000e+03,3.084670000000000120e-02,3.576959999999999862e-02
1.000000000000000000e+04,6.116739999999999677e-02,5.084639999999999993e-02
2.000000000000000000e+04,1.223811000000000065e-01,7.067600000000000271e-02
5.000000000000000000e+04,2.937609999999999943e-01,1.002370999999999956e-01
1.000000000000000000e+05,5.674848999999999588e-01,1.325529000000000013e-01
