# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,2.094200000000000055e-03,5.318100000000000084e-03
2.000000000000000000e+02,4.208599999999999841e-03,7.606899999999999773e-03
5.000000000000000000e+02,1.086289999999999999e-02,1.211519999999999958e-02
1.000000000000000000e+03,2.137829999999999939e-02,1.715169999999999889e-02
2.000000000000000000e+03,4.286390000000000339e-02,2.045860000000000040e-02
5.000000000000000000e+03,1.067747000000000002e-01,3.316870000000000235e-02
1.000000000000000000e+04,2.145017999999999925e-01,4.574120000000000269e-02
2.000000000000000000e+04,4.320842999999999767e-01,6.895120000000000415e-02
5.000000000000000000e+04,1.129768000000000105e+00,1.084062999999999971e-01
1.000000000000000000e+05,2.186021699999999957e+00,1.378908000000000078e-01
1.000000000000000000e+06,5.378222899999999917e+00,9.093750000000000444e-02
