# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,5.500999999999999814e-04,4.259800000000000218e-03
2.000000000000000000e+02,1.086699999999999906e-03,6.032499999999999668e-03
5.000000000000000000e+02,2.706699999999999818e-03,9.615300000000000236e-03
1.000000000000000000e+03,5.695099999999999815e-03,1.381119999999999917e-02
2.000000000000000000e+03,1.121240000000000084e-02,1.956679999999999878e-02
5.000000000000000000e+03,2.766360000000000000e-02,3.032170000000000004e-02
1.000000000000000000e+04,5.517969999999999819e-02,4.276979999999999671e-02
2.000000000000000000e+04,1.090958999999999957e-01,5.931260000000000004e-02
5.000000000000000000e+04,2.713136999999999910e-01,8.180060000000000109e-02
1.000000000000000000e+05,5.121219000000000188e-01,1.073579999999999951e-01
