# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,9.013399999999999537e-03,2.439909999999999995e-02
2.000000000000000000e+02,1.840589999999999934e-02,3.457319999999999838e-02
5.000000000000000000e+02,4.589170000000000055e-02,5.418520000000000281e-02
1.000000000000000000e+03,9.113150000000000417e-02,6.779100000000000403e-02
2.000000000000000000e+03,1.682250000000000134e-01,8.584909999999999763e-02
5.000000000000000000e+03,3.794993999999999867e-01,1.221322999999999992e-01
1.000000000000000000e+04,6.482489000000000168e-01,1.518436999999999981e-01
2.000000000000000000e+04,1.029149400000000103e+00,1.760065000000000102e-01
5.000000000000000000e+04,1.670453900000000047e+00,2.007064000000000070e-01
1.000000000000000000e+05,2.274601500000000165e+00,2.139000000000000068e-01
1.000000000000000000e+06,4.209326400000000135e+00,1.749304999999999888e-01
