# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,7.236000000000000244e-04,6.511300000000000247e-03
2.000000000000000000e+02,1.399800000000000089e-03,9.042700000000000737e-03
5.000000000000000000e+02,3.299499999999999916e-03,1.387659999999999935e-02
1.000000000000000000e+03,7.123499999999999624e-03,2.048470000000000152e-02
2.000000000000000000e+03,1.357090000000000032e-02,2.822529999999999831e-02
5.000000000000000000e+03,3.427120000000000166e-02,3.928349999999999898e-02
1.000000000000000000e+04,6.383890000000000398e-02,5.173669999999999658e-02
2.000000000000000000e+04,1.183122000000000063e-01,6.954459999999999809e-02
5.000000000000000000e+04,2.898047999999999735e-01,1.026385999999999965e-01
1.000000000000000000e+05,5.351970999999999812e-01,1.291114999999999902e-01
