# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,2.530539999999999873e-02,2.418510000000000104e-02
2.000000000000000000e+02,4.971910000000000218e-02,3.267699999999999771e-02
5.000000000000000000e+02,1.256739000000000051e-01,5.226419999999999677e-02
1.000000000000000000e+03,2.415924999999999878e-01,7.049110000000000098e-02
2.000000000000000000e+03,4.544602999999999837e-01,9.757119999999999682e-02
5.000000000000000000e+03,9.230104999999999560e-01,1.159721999999999975e-01
1.000000000000000000e+04,1.450879699999999994e+00,1.301325000000000121e-01
2.000000000000000000e+04,1.975170000000000092e+00,1.243400000000000061e-01
5.000000000000000000e+04,2.496721500000000038e+00,1.075027999999999956e-01
1.000000000000000000e+05,2.818180700000000094e+00,8.863809999999999745e-02
1.000000000000000000e+06,3.447531399999999913e+00,7.269280000000000186e-02
